"Station Number","DWR Regional Office*","Name","County","lat","lng","Elevation","Status","Connect Date","Disconnect Date"
112,"SCRO","San Ardo","Monterey",36.079,-120.958,374,"Inactive","6/18/1993","3/13/1995"
113,"SCRO","King City-Oasis Rd.","Monterey",36.121275,-121.084455,552,"Active","6/12/1993","Active"
114,"SCRO","Arroyo Seco","Monterey",36.347415000000005,-121.291248,235,"Active","6/18/1993","Active"
115,"SCRO","Gonzales","Monterey",36.515,-121.51,146,"Inactive","6/12/1993","11/10/1998"
116,"SCRO","Salinas North","Monterey",36.716806,-121.69188899999999,61,"Active","6/18/1993","Active"
117,"SRO","Victorville","San Bernardino",34.475914,-117.26351399999999,2890,"Active","2/1/1994","Active"
118,"SRO","Cathedral City","Riverside",33.841387,-116.478729,421,"Inactive","12/7/1995","10/9/2014"
119,"NCRO","Putah Creek","Solano",38.495,-122.00399999999999,180,"Inactive","8/21/1993","1/25/1995"
120,"SRO","Guadalupe","Santa Barbara",34.961999999999996,-120.54799999999999,110,"Inactive","12/24/1993","11/28/2000"
121,"NCRO","Dixon","Solano",38.415564,-121.786911,37,"Active","9/20/1994","Active"
122,"NCRO","Hastings Tract","Solano",38.283046999999996,-121.79061599999999,10,"Inactive","3/28/1995","6/10/2009"
123,"NCRO","Suisun Valley","Solano",38.233971999999994,-122.11699399999999,35,"Inactive","8/18/1994","7/11/2010"
124,"SCRO","Panoche","Fresno",36.890096,-120.73166499999999,183,"Active","7/27/1995","Active"
125,"SCRO","Arvin-Edison","Kern",35.20581,-118.77843700000001,508,"Active","3/22/1995","Active"
126,"SCRO","San Benito","San Benito",36.854875,-121.362693,340,"Active","6/9/1994","Active"
127,"SRO","Salton West","Imperial",33.327703,-115.944842,-225,"Inactive","11/21/1994","9/16/2012"
128,"SRO","Salton East","Imperial",33.220186,-115.58011699999999,-226,"Inactive","11/17/1994","8/9/2013"
129,"SCRO","Pajaro","Monterey",36.902778000000005,-121.74193100000001,65,"Active","9/13/1995","Active"
130,"SRO","Temecula East","Riverside",33.556,-117.037,1500,"Inactive","7/1/1995","11/5/1996"
131,"NCRO","Fair Oaks","Sacramento",38.649964000000004,-121.21887199999999,265,"Active","4/18/1997","Active"
132,"SCRO","Morgan Hill","Santa Clara",37.151534000000005,-121.63633,400,"Inactive","4/28/1997","5/1/2008"
133,"SRO","Glendale","Los Angeles",34.196531,-118.230203,1076,"Inactive","8/7/1996","1/5/2015"
134,"SRO","Barstow NE","San Bernardino",34.884267,-116.97986100000001,2068,"Inactive","1/8/1997","10/30/2013"
135,"SRO","Blythe NE","Riverside",33.662869,-114.558108,275,"Active","1/16/1997","Active"
136,"SRO","Oasis","Riverside",33.523694,-116.15575,12,"Active","1/7/1997","Active"
137,"SRO","Temecula East II","Riverside",33.558017,-117.03166100000001,1536,"Inactive","2/20/1997","9/20/2011"
138,"SCRO","Famoso","Kern",35.603513,-119.21258700000001,415,"Inactive","4/9/1997","12/29/2015"
139,"NCRO","Winters","Solano",38.501258,-121.978528,136,"Active","6/15/1998","Active"
140,"NCRO","Twitchell Island","Sacramento",38.121739,-121.67445500000001,0,"Active","10/8/1997","Active"
141,"SRO","Mecca","Riverside",33.536894000000004,-115.99280300000001,-180,"Inactive","5/5/1998","3/11/2010"
142,"SCRO","Orange Cove","Fresno",36.721083,-119.389028,470,"Active","1/1/1999","Active"
